,Ortho,Phono,Length,LogFreq,meanRT
10706,dressers,drEs#z,8,4.72,801.2142857
10707,dresses,drEs@z,7,7.76,678.0625
10708,dressing,drEsIN,8,7.97,621.4
10709,dressings,drEsINz,9,4.75,627.1
10710,dressmaker,drEsmek#,10,4.11,691.1034483
10711,dressy,drEsi,6,4.06,628.3703704
10712,drew,dru,4,9.19,589.64
10713,dribble,drIbL,7,6.68,655.7142857
10714,dribbled,drIbLd,8,5.27,694.5
10715,dried,dr!d,5,8.36,652.9333333
10716,drier,dr!#,5,5.83,641.1428571
10717,driers,dr!#z,6,3.18,724.7692308
10718,dries,dr!z,5,6.65,641.6666667
10719,drift,drIft,5,8.11,617.7692308
10720,drifted,drIft@d,7,7.02,688.2592593
10721,drifter,drIft#,7,5.37,649.5357143
10722,drifting,drIftIN,8,6.84,721.46875
10723,drifts,drIfts,6,5.77,620.2580645
10724,driftwood,drIftwUd,9,5.53,682.4193548
10725,drill,drIl,5,8.68,595.2758621
10726,drilled,drIld,7,7.24,717.2413793
10727,drilling,drIlIN,8,7.44,662.1071429
10728,drills,drIlz,6,6.8,732.6071429
10729,drink,drINk,5,9.9,663.0714286
10730,drinkable,drINk@bL,9,5.31,616.7142857
10731,drinker,drINk#,7,6.39,728.1481481
10732,drinkers,drINk#z,8,6.3,720.0645161
10733,drinkhouse,drINkh0s,10,0,690.5
10734,drinking,drINkIN,8,9.3,594.8928571
10735,drinks,drINks,6,8.51,751.4814815
10736,drip,drIp,4,7.21,644.8
10737,dripped,drIpt,7,6.05,712.8518519
10738,dripping,drIpIN,8,7.65,693.6333333
10739,drips,drIps,5,6.21,583.7666667
10740,drive,dr!v,5,12.05,607.2962963
10741,drivel,drIvL,6,7.89,738.1538462
10742,driven,drIvn,6,9.25,605.137931
10743,driver,dr!v#,6,11.14,644.1935484
10744,drivers,dr!v#z,7,10.92,604.7096774
10745,drives,dr!vz,6,10.67,627.04
10746,driveway,dr!vwe,8,7.04,689.0344828
10747,driveways,dr!vwez,9,4.45,675.2857143
10748,driving,dr!vIN,7,10.02,585.2068966
10749,drizzle,drIzL,7,5.65,710.137931
10750,drizzling,drIzLIN,9,2.94,737.7586207
10751,drizzly,drIzLi,7,3.26,698.1111111
10752,dromedary,drAm@dEri,9,3.09,1025.625
10753,drone,dron,5,6.77,624.25
10754,drones,dronz,6,6.6,656.6551724
10755,drool,drul,5,7.04,679.5862069
10756,droop,drup,5,4.77,703.6666667
10757,drooped,drupt,7,4.49,678.8076923
10758,drooping,drupIN,8,4.73,721
10759,drop,drAp,4,10.76,609.1428571
10760,dropkick,drApkIk,8,4.44,691.8214286
10761,droplet,drApl@t,7,5,680.1290323
10762,droplets,drApl@ts,8,6.04,800.2
10763,dropout,drAp0t,7,5.96,705.3571429
10764,dropouts,drAp0ts,8,5.85,697.7419355
10765,dropped,drApt,7,9.87,613.7777778
10766,dropper,drAp#,7,5.17,647.1724138
10767,dropping,drApIN,8,8.89,609
10768,droppings,drApINz,9,5.85,644.137931
10769,drops,drAps,5,8.93,677.8064516
10770,dropsy,drApsi,6,3.47,791.8
10771,drought,dr0t,7,6.97,643.9285714
10772,droughts,dr0ts,8,5.04,676.4137931
10773,drove,drov,5,8.81,634.4827586
10774,droves,drovz,6,5.89,691.6785714
10775,drown,dr0n,5,7.25,633.25
10776,drowned,dr0nd,7,7.69,656.0689655
10777,drowning,dr0nIN,8,7.27,684.8214286
10778,drowns,dr0nz,6,5.19,643.1428571
10779,drowse,dr0z,6,1.95,730.84
10780,drowsed,dr0zd,7,0,767.8888889
10781,drowsily,dr0z@li,8,2.3,706.2
10782,drowsing,dr0zIN,8,2.2,755.1481481
10783,drowsy,dr0zi,6,5.33,716.1724138
10784,drudge,drVJ,6,7.73,701.962963
10785,drudgery,drVJ#ri,8,5.02,759.0384615
10786,drug,drVg,4,10.53,575.6875
10787,drugged,drVgd,7,6.18,642.36
10788,drugging,drVgIN,8,4.5,749.8148148
10789,druggist,drVgIst,8,3.26,754.4
10790,drugless,dr@glIs,8,1.1,670.1785714
10791,drugs,drVgz,5,10.32,561
10792,drugstore,drVgstOr,9,5.82,655.8333333
10793,drugstores,drVgstOrz,10,4.5,700.8928571
10794,druid,druId,5,9.18,684.9333333
10795,drum,drVm,4,9.02,714.8571429
10796,drumbeat,drVmbit,8,4.36,744.7037037
10797,drumfire,dr@mf!r,8,0,755.3461538
10798,drumhead,drVmhEd,8,4.28,688.25
10799,drummed,drVmd,7,5.18,630.2068966
10800,drummer,drVm#,7,8.26,619.5384615
10801,drummers,drVm#z,8,6.72,652.7096774
10802,drumming,drVmIN,8,6.72,644.2333333
10803,drums,drVmz,5,8.72,643.5
10804,drumstick,drVmstIk,9,4.34,644.5925926
10805,drunk,drVNk,5,8.89,602
10806,drunkard,drVNk#d,8,4.81,692.16
10807,drunkards,drVNk#dz,9,4.04,748.5357143
10808,drunken,drVNk@n,7,7.37,729.8125
10809,drunkenly,drVNk@nli,9,4.25,742.6551724
10810,drunkenness,drVNk@nn@s,11,5.37,632.3793103
10811,drunker,drVNk#,7,3.64,645.4642857
10812,drunks,drVNks,6,6.15,616.4333333
10813,dry,dr!,3,9.87,567.0689655
10814,dryad,dr!ad,5,5.49,909.9375
10815,dryer,dr!#,5,7.05,658.0689655
10816,drying,dr!IN,6,7.38,642.5517241
10817,dryly,dr!li,5,4.69,733.3461538
10818,dryness,dr!n@s,7,5.55,613.8928571
10819,drywall,dr!wAl,7,5.37,642.4482759
10820,dual,du@l,4,9.5,675.8484848
10821,dualism,du@lIzm,7,5.57,702.6296296
10822,dualities,dual@tiz,9,3.95,935.9583333
10823,dub,dVb,3,8.14,649.1785714
10824,dubbed,dVbd,6,7.69,677.0322581
10825,dubious,dubi@s,7,7.67,715.7142857
10826,Dublin,dVblIn,6,8.24,723.9677419
10827,ducat,dVk@t,5,4.17,914.1818182
10828,duchess,dVC@s,7,6.35,672.9
10829,duck,dVk,4,8.83,572.8571429
10830,duckbill,dVkbIl,8,2.64,698.28125
10831,ducked,dVkt,6,6.09,642.2142857
10832,ducking,dVkIN,7,6.48,609.3571429
10833,duckling,dVklIN,8,4.42,647.8928571
10834,ducks,dVks,5,7.71,558.5333333
10835,duckweed,dVkwid,8,3.26,683.8571429
10836,ducky,dVki,5,5.37,624.7857143
10837,duct,dVkt,4,7,598.24
10838,ductile,dVktL,7,4.36,769.5925926
10839,ducts,dVkts,5,5.91,668.2333333
10840,ductwork,dVktw#k,8,4.23,750.6206897
10841,dud,dVd,3,6.01,694.3214286
10842,dude,dud,4,8.84,680.516129
10843,duds,dVdz,4,5.42,603.9032258
10844,due,du,3,11.52,671.9666667
10845,duel,du@l,4,7.43,685.6785714
10846,dueling,du@lIN,7,5.51,697.3870968
10847,dueller,du@l#,7,0,870.3157895
10848,duellist,du@lIst,8,3.47,842.7307692
10849,duels,du@lz,5,5.67,722.1034483
10850,duet,duEt,4,6.9,701.2333333
10851,duets,duEts,5,5.75,722.2413793
10852,duffel,dVfL,6,4.84,706.4137931
10853,dug,dVg,3,7.96,672.8965517
10854,dugout,dVg0t,6,5.79,693.1111111
10855,duke,duk,4,9.4,653.75
10856,dukedom,dukd@m,7,3.09,892.3157895
10857,dukes,duks,5,6.11,798.9310345
10858,dulcimer,d@ls@m#,8,5.88,921.85
10859,dull,dVl,4,8.44,692.1935484
10860,dullard,dVl#d,7,5.23,795.2307692
10861,dulled,dVld,6,4.99,638.8076923
10862,duller,dVl#,6,4.75,599.137931
10863,Dulles,dVlIs,6,6.28,975.8823529
10864,dullest,dVlIst,7,4.14,703.1785714
10865,dullness,dVln@s,8,4.43,629.9642857
10866,dulls,dVlz,5,3.74,608.962963
10867,dully,dVlli,5,4.08,699.9047619
10868,duly,duli,4,6.94,678.6666667
10869,Dumas,dumA,5,5.96,785.9565217
10870,dumb,dVm,4,9.43,612.3666667
10871,dumbbell,dVmbEl,8,4.62,679.0666667
10872,dumbbells,dVmbElz,9,4.68,804.2413793
10873,dumbwaiter,dVmwet#,10,2.71,842.75
10874,dumdum,dVmdVm,6,2.89,836.3793103
10875,dummies,dVmiz,7,6.91,612.6428571
10876,dummy,dVmi,5,8.15,634.8275862
10877,dump,dVmp,4,9.22,590.0322581
10878,dumped,dVmpt,6,8.41,583.2758621
10879,dumping,dVmpIN,7,7.81,640.8275862
10880,dumpling,dVmplIN,8,4.65,643.5517241
10881,dumps,dVmps,5,7.63,666.6129032
10882,dumpy,dVmpi,5,4.44,618.2962963
10883,dun,dVn,3,7,599.8148148
10884,dunce,dVns,5,5.23,697.4
10885,dunderhead,dVnt#hEd,10,3.33,960.3846154
10886,dune,dun,4,7.74,702.9230769
10887,dunes,dunz,5,6.06,700.0689655
10888,dung,dVN,4,7.07,666.2068966
10889,dungaree,dVNg#ri,8,0.69,788.7777778
10890,dungeon,dVnJ@n,7,8.17,597.3846154
10891,dunghill,dVNhIl,8,1.79,769.4666667
10892,dunk,dVNk,4,6.97,633.1034483
10893,duo,duo,3,8.62,719
10894,duodenum,du@din@m,8,3.61,1179.473684
10895,duologue,du@lOg,8,0,1148
10896,dupe,dup,4,5.96,682.0689655
10897,duped,dupt,5,6.27,708.8928571
10898,duplex,duplEks,6,7.22,657.84
10899,duplicable,dupl@k@bL,10,3.04,1248
10900,duplicate,dupl@k@t,9,8.56,682.9310345
10901,duplicated,dupl@ket@d,10,7.24,723.3225806
10902,duplication,dupl@keSn,11,7.27,740.2258065
10903,duplicity,duplIs@ti,9,5.95,771.8965517
10904,durable,dUr@bL,7,7.71,629.0357143
10905,duration,dUreSn,8,8.86,663.6896552
10906,durations,dUreSnz,9,5.51,754
10907,duress,dUrEs,6,5.73,834.5416667
10908,during,dUrIN,6,11.83,648.8666667
10909,dusk,dVsk,4,6.68,586.2857143
10910,dusky,dVski,5,4.5,632.2666667
10911,Dusseldorf,dusLdOrf,10,5.5,1086.8
10912,dust,dVst,4,9.83,545.1290323
10913,dustbin,dVsbIn,7,5.4,783.8275862
10914,dustbowl,d@stbol,8,1.95,636.9230769
10915,dustcoat,dVstkot,8,0,832.5357143
10916,dusted,dVst@d,6,5.69,609.1111111
10917,duster,dVst#,6,5.83,580.2758621
10918,dusting,dVstIN,7,5.66,592.5555556
10919,dustless,dVstl@s,8,1.39,747.12
10920,dustpan,dVspan,7,2.3,648.8571429
10921,dusts,dVsts,5,4.19,593.9259259
10922,dusty,dVsti,5,7.54,591.6896552
10923,Dutch,dVC,5,9.03,639.4074074
10924,dutchess,d@CEs,8,4.68,709.2592593
10925,Dutchman,dVCm@n,8,5.84,662.8275862
10926,duties,dutiz,6,9.13,742.34375
10927,dutiful,dutIfL,7,4.75,780.5185185
10928,duty,duti,4,9.62,610.1071429
10929,duvet,duve,5,3.33,862.55
10930,dwarf,dwOrf,5,8.47,635.5333333
10931,dwarfed,dwOrft,7,5,713.9655172
10932,dwarfs,dwOrfs,6,6.58,653.1785714
10933,dwell,dwEl,5,7.3,679.6129032
10934,dweller,dwEl#,7,5.23,719.6774194
10935,dwellers,dwEl#z,8,7.48,643.5714286
10936,dwelling,dwElIN,8,6.76,628.8965517
10937,dwellings,dwElINz,9,5.42,678.3548387
10938,dwells,dwElz,6,5.76,613.7586207
10939,dwelt,dwElt,5,5.14,627.4074074
10940,dwindle,dwIntL,7,5.05,654.5925926
10941,dwindled,dwIntLd,8,5.18,789.56
10942,dwindling,dwIntLIN,9,6.05,698.5925926
10943,dye,d!,3,7.47,604.0666667
10944,dyed,d!d,4,6.18,648.5862069
10945,dyeing,d!IN,6,4.9,715.2857143
10946,dyestuff,d!stVf,8,1.39,868.3846154
10947,dying,d!IN,5,9.23,609.1935484
10948,Dylan,dIl@n,5,8.88,730.1481481
10949,dynamic,d!namIk,7,9.72,757.4074074
10950,dynamical,d!namIkL,9,6.45,781
10951,dynamically,d!namIkli,11,8.03,885.5666667
10952,dynamics,d!namIks,8,8.74,675.6774194
10953,dynamism,d!n@mIzm,8,4.89,1128
10954,dynamite,d!n@m!t,8,7.45,771.4
10955,dynamited,d!n@m!t@d,9,4.33,1251.285714
10956,dynamo,d!n@mo,6,6.22,816.1481481
10957,dynastic,d!nastIk,8,4.58,784.8
10958,dynasties,d!n@stiz,9,5.59,877.1304348
10959,dynasty,d!n@sti,7,7.76,722.6896552
10960,dysentery,dIsntEri,9,3.71,867.6842105
10961,dyslexia,dIslEksi@,8,6.29,765.32
10962,dyspeptic,dIspEptIk,9,2.3,1105.818182
10963,dystrophy,dIstr@fi,9,4.71,983.6086957
10964,each,iC,4,12.62,1043.592593
10965,eager,ig#,5,8.45,616.3793103
10966,eagerly,ig#li,7,7.65,650.3703704
10967,eagerness,ig#n@s,9,6.06,718.4827586
10968,eagle,igL,5,8.83,733.6666667
10969,eagles,igLz,6,7.94,736.0740741
10970,eaglet,igl@t,6,2.83,877.1363636
10971,ear,Ir,3,9.33,627.5862069
10972,earache,Irek,7,5.45,850.9655172
10973,eardrop,irdrAp,7,0,679.2
10974,eardrum,IrdrVm,7,4.28,771.3103448
10975,eardrums,IrdrVmz,8,4.34,735.2413793
10976,eared,ird,5,4.43,995.56
10977,earl,#l,4,8.7,661.8148148
10978,earldom,#ld@m,7,3.3,1098.318182
10979,earlier,#li#,7,10.6,638.75
10980,earliest,#liIst,8,8.36,661.4827586
10981,earliness,#lin@s,9,0.69,838.0357143
10982,earlobe,I#lob,7,5.02,689.3571429
10983,early,#li,5,11.24,586.2857143
10984,earmark,IrmArk,7,3.81,677.1428571
10985,earmarked,IrmArkt,9,5.69,798.1481481
10986,earmuff,IrmVf,7,0,735.6333333
10987,earn,#n,4,9.39,546.4642857
10988,earned,#nd,6,8.87,698.4666667
10989,earnest,#nIst,7,7.27,662.0740741
10990,earnestly,#nIstli,9,5.79,805.0769231
10991,earnestness,#nIstn@s,11,4.23,888.6785714
10992,earning,#nIN,7,8.17,811.1111111
10993,earnings,#nINz,8,8.42,838.9230769
10994,earns,#nz,5,7.12,670.0344828
10995,earphone,Irfon,8,4.96,652.6551724
10996,earphones,Irfonz,9,4.8,685.7241379
10997,earpiece,Irpis,8,4.32,747.8275862
10998,earplug,IrplVg,7,3.14,656.9615385
10999,earring,IrrIN,7,6.03,784.7777778
11000,earrings,IrrINz,8,6.77,630.4333333
11001,ears,Irz,4,9.41,582.5172414
11002,earshot,IrSAt,7,5.37,636.0344828
11003,earsplitting,IrsplItIN,12,1.95,891.6071429
11004,earth,#T,5,11.03,555
11005,earthbound,#Tb0nd,10,4.49,671.862069
11006,earthen,#Tn,7,4.89,789.4482759
11007,earthenware,#TnwEr,11,3.76,1118.576923
11008,earthling,#TlIN,9,4.85,641.25
11009,earthly,#Tli,7,6.87,649.6666667
11010,earthmoving,#TmuvIN,11,2.48,805.6333333
11011,earthquake,#Tkwek,10,8.63,616.5925926
11012,earthquakes,#Tkweks,11,7.61,621.1935484
11013,earthshaking,#TSekIN,12,3.18,710.0689655
11014,earthworm,#Tw#m,9,5.71,709.96875
11015,earthy,#Ti,6,5.33,637.16
11016,earwax,Irwaks,6,3.47,611.1071429
11017,ease,iz,4,9.18,712.1923077
11018,eased,izd,5,6.82,907.08
11019,easel,izL,5,5.42,799.5666667
11020,easement,izm@nt,8,4.73,1044.68
11021,easements,izm@nts,9,4.29,1180.416667
11022,easier,izi#,6,10.75,667.7407407
11023,easiest,iziIst,7,8.98,752.7333333
11024,easily,iz@li,6,10.86,780.84375
11025,easing,izIN,6,6.38,596.8518519
11026,east,ist,4,10.8,745.35
11027,eastbound,istb0nd,9,5.12,703.5
11028,Easter,ist#,6,8.08,621.56
11029,eastern,ist#n,7,9.86,879
11030,easterner,ist#n#,9,3.91,1097.407407
11031,easterners,ist#n#z,10,4.42,1102.36
11032,easternmost,ist#nmost,11,3,1271.043478
11033,eastward,istw#d,8,5.71,706.4642857
11034,easy,izi,4,11.45,589.9259259
11035,easygoing,izigoIN,9,4.63,776.7096774
11036,eat,it,3,10.48,748.1153846
11037,eatable,it@bL,7,2.77,825.84
11038,eaten,itn,5,8.36,693.0869565
11039,eaters,it#z,6,6.69,689.862069
11040,eating,itIN,6,9.72,606.7666667
11041,eats,its,4,8.15,884.7272727
11042,eavesdrop,ivzdrAp,9,4.93,964.2903226
11043,ebb,Eb,3,6.31,616.6153846
11044,ebbing,EbIN,6,4.39,628.5925926
11045,ebbs,Ebz,4,5.12,603.5517241
11046,ebony,Eb@ni,5,8.33,688.5
11047,eccentric,IksEntrIk,9,6.82,820
11049,eccentricity,EksEntrIs@ti,12,5.11,1065.952381
11050,eccentrics,IksEntrIks,10,4.83,1025.857143
11051,ecclesiastic,IkliziastIk,12,2.48,1757.8125
11053,echelon,ES@lAn,7,5.53,1003.25
11054,echelons,ES@lAnz,8,5.39,924.3125
11055,echo,Eko,4,10.3,588.2258065
11056,echoed,Ekod,6,7.02,760.8148148
11057,echoes,Ekoz,6,7.21,605.7878788
11058,echoing,EkoIN,7,6.63,712.962963
11059,eclair,eklEr,6,3.93,863.5555556
11060,eclectic,IklEktIk,8,6.9,1015.75
11061,eclectically,IklEktIkli,12,1.79,1346.714286
11062,eclecticism,IklEktIsIzm,11,3.69,1130.642857
11063,eclipse,IklIps,7,7.89,673.2068966
11064,eclipsed,IklIpst,8,5.81,968.3571429
11065,eclipses,IklIps@z,8,5.52,721
11066,eclipsing,IklIpsIN,9,4.49,887.7037037
11067,ecliptic,IklIptIk,8,5.36,1240.75
11068,ecological,ik@lAJIkL,10,7.75,952.1034483
11069,ecology,IkAl@Ji,7,8.01,721.3793103
11070,economic,ik@nAmIk,8,10.54,805.7142857
11071,economical,ik@nAmIkL,10,7.74,850.125
11072,economically,ik@nAmIkli,12,7.93,753
11073,economics,ik@nAmIks,9,9.39,806.0645161
11074,economies,IkAn@miz,9,7.64,941.68
11075,economist,IkAn@mIst,9,7.73,785.4230769
11076,economists,IkAn@mIsts,10,7.73,877.1481481
11077,economize,IkAn@m!z,9,3.87,800.6666667
11078,economizing,IkAn@m!zIN,11,2.4,1026.875
11079,economy,IkAn@mi,7,9.99,696.8214286
11080,ecosystem,ikosIst@m,9,7.18,754.1724138
11081,ecru,ekru,4,3.89,839.2631579
11082,ecstasy,Ekst@si,7,7.7,688.7
11083,ecstatic,IkstatIk,8,6.78,1144.961538
11084,ectoplasm,Ekt@plazm,9,3.99,976.15
11085,Ecuador,Ekw@dOr,7,8.02,786.8928571
11086,ecumenical,Ekj@mEnIkL,10,5.77,1561.583333
11087,eczema,Eks@m@,6,6.07,1282.461538
11088,Eddie,Eti,5,9.05,605.40625
11089,eddies,Etiz,6,5.31,690.5357143
11090,eddy,Eti,4,7.5,632.36
11091,edema,Idim@,5,5.2,923.4736842
11092,Eden,idn,4,8.04,732.0384615
11093,Edgar,Edg#,5,7.82,724.8214286
11094,edge,EJ,4,10.54,623.7857143
11095,edged,EJd,5,6.5,605.2580645
11096,edges,EJ@z,5,9.09,648.2903226
11097,edgewise,EJw!z,8,4.52,749.0967742
11098,edging,EJIN,6,5.58,705.7666667
11099,edgy,EJi,4,5.36,637.5769231
11100,edible,Et@bL,6,6.89,668.2857143
11101,edification,Et@f@keSn,11,6.31,774.0740741
11102,edifice,Et@fIs,7,5.29,808.5769231
11103,edified,Et@f!d,7,3.37,785.7307692
11104,edify,Et@f!,5,4.32,677.64
11105,edifying,Et@f!IN,8,4.58,798.4
11106,Edison,EtIsn,6,7.5,584.4137931
11107,edit,Et@t,4,9.91,634.3
11108,edited,Et@t@d,6,9.25,622.0344828
11109,Edith,itIT,5,6.93,721.6923077
11110,editing,Et@tIN,7,9.55,587.7777778
11111,edition,IdISn,7,10.68,622.3333333
11112,editions,IdISnz,8,8.41,733.7586207
11113,editor,Et@t#,6,10.72,599.75
11114,editorial,Et@tOri@l,9,8.82,669.0344828
11115,editorialist,Et@tOri@lIst,12,3.61,884.2592593
11116,editorialize,Et@tOri@l!z,12,3.87,973.0689655
11117,editorials,Et@tOri@lz,10,6.67,684.9310345
11118,editors,Et@t#z,7,9.31,649.15625
11119,editorship,Et@t#SIp,10,3.5,966.8148148
11120,educate,EJ@ket,7,8.41,704.9655172
11121,educated,EJ@ket@d,8,8.93,661.3
11122,educating,EJ@ketIN,9,7.33,667.6785714
11123,education,EJ@keSn,9,10.98,614.9230769
11124,educational,EJ@keSn@l,11,9.95,758.15625
11125,educations,EJ@keSnz,10,5.97,696.5185185
11126,educator,EJ@ket#,8,6.82,729.9
11127,educators,EJ@ket#z,9,7.67,676.1333333
11128,Edward,Edw#d,6,9.58,623.1071429
11129,eel,il,3,7.79,674.7307692
11130,eerie,Iri,5,6.65,673.2592593
11131,eerily,Ir@li,6,4.93,806.52
11132,effect,IfEkt,6,11.11,610.5862069
11133,effected,IfEkt@d,8,7.14,646.9285714
11134,effecting,IfEktIN,9,6.01,748.4444444
11135,effective,IfEktIv,9,10.42,648.2903226
11136,effectively,IfEktIvli,11,9.55,683.9615385
11138,effects,IfEkts,7,10.66,652.9
11139,effectual,IfEkCu@l,9,4.83,840
11140,effectuate,IfEkCuet,10,3.18,887.2
11141,effeminate,IfEm@n@t,10,5.34,1084.3125
11142,effervesce,Ef#vEs,10,0,1179.615385
11143,effervescent,Ef#vEsnt,12,3.87,889.6956522
11144,efficacious,Ef@keS@s,11,5.22,1006.777778
11145,efficacy,Ef@k@si,8,7.17,912
11146,efficiencies,IfISnsiz,12,5.81,875.6666667
11147,efficiency,IfISnsi,10,8.93,693.037037
11148,efficient,IfISnt,9,9.5,701.6666667
11149,efficiently,IfISntli,11,8.14,821.6666667
11150,effigy,Ef@Ji,6,7.4,899.2777778
11151,effloresce,Efl#rEs,10,0,987.7
11153,efflorescent,Efl#rEsnt,12,2.2,1359.652174
11154,effluent,Eflu@nt,8,5.31,801.7142857
11155,effluents,Eflu@nts,9,2.89,917.0526316
11156,effluvium,Ifluvi@m,9,2.56,1148.545455
11157,effort,Ef#t,6,10.54,612.0666667
11158,effortless,Ef#tl@s,10,6.54,700.2857143
11159,effortlessly,Ef#tl@sli,12,6.09,749.3870968
11160,efforts,Ef#ts,7,10,645.0666667
11161,effuse,Ifjuz,6,0.69,775.4782609
11162,effusion,IfjuZn,8,3.3,952.4166667
11163,effusive,IfjusIv,8,3.81,838.5
11164,egalitarian,Igal@tEri@n,11,5.92,1020.545455
11166,egg,Eg,3,9.61,591.5517241
11167,eggbeater,Egbit#,9,3.22,686.6785714
11168,eggcup,EgkVp,6,0,768.8518519
11169,egged,Egd,5,4.23,647.12
11170,egghead,EghEd,7,6.73,626.6896552
11171,eggnog,EgnAg,6,4.08,784.0714286
11172,eggplant,Egplant,8,6.46,723.2142857
11173,eggs,Egz,4,9.01,582.0740741
11174,eggshell,EgSEl,8,4.52,630.8387097
11175,ego,igo,3,8.73,662.7096774
11176,egocentric,igosEntrIk,10,5.23,968.12
11178,egoism,igoIzm,6,5.31,757.36
11179,egoist,igoIst,6,3.81,1059.884615
11180,egotism,ig@tIzm,7,5.02,914.6666667
11181,egotist,ig@tIst,7,3.97,948.4285714
11182,egotrip,igotrIp,7,1.39,802.8214286
11183,egregious,IgriJ@s,9,6.48,1081.916667
11184,egregiously,IgriJ@sli,11,4.82,1573.9
11185,egret,igr@t,5,4.09,817.3125
11186,egrets,igr@ts,6,3.26,832.4736842
11187,Egypt,iJIpt,5,8.61,717.5666667
11188,Egyptian,IJIpSn,8,7.97,697.3125
11189,Egyptians,IJIpSnz,9,7.12,681.1034483
11190,eh,e,2,9.53,666.0769231
11191,eidetic,!dEtIk,7,3.76,1181.8
11192,eight,et,5,9.77,608.6551724
11193,eighteen,etin,8,7.3,734.5925926
11194,eighteenth,etinT,10,5.86,745.3
11195,eighth,etT,6,7.79,628.6896552
11196,eighties,etiz,8,7.27,708.7931034
11197,eightieth,eti@T,9,2.56,965.65
11198,eightpence,etp@ns,10,0,883.6296296
11199,eightpenny,etpEni,10,0,1076
11200,eighty,eti,6,6.62,669.0769231
11201,Eileen,!lin,6,7,888.75
11202,Einstein,!nst!n,8,8.57,678.25
11203,Eisenhower,!znh0r,10,7.21,728.6551724
11204,either,iD#,6,12.17,750.6923077
11205,ejaculate,IJakj@let,9,6.13,760.5
11206,ejaculated,IJakj@let@d,10,5.35,783.0322581
11207,ejaculation,IJakj@leSn,11,6.59,731.5185185
11208,eject,IJEkt,5,7.32,663.5666667
11209,ejected,IJEkt@d,7,6.68,729.12
11210,ejection,IJEkSn,8,6.28,706.137931
11211,ejector,IJEkt#,7,4.37,712.9117647
11212,eked,ikt,4,2.83,886.3333333
11213,elaborate,Ilab#r@t,9,8.49,668.1724138
11214,elaborated,Ilab#ret@d,10,5.93,612.3214286
11215,elaborately,Ilab#r@tli,11,4.54,712.625
11216,elaborates,Ilab#rets,10,4.62,643.0333333
11217,elaboration,Ilab#reSn,11,5.97,864.2333333
11218,Elaine,Ilen,6,7.8,635.5357143
11219,elapse,Ilaps,6,4.76,671.8965517
11220,elapsed,Ilapst,7,6.92,667.3666667
11221,elapses,Ilaps@z,7,3.09,805.6428571
11222,elastic,IlastIk,7,7.41,664
11223,elasticity,ilastIs@ti,10,5.93,774.2857143
11224,elate,Ilet,5,3.14,648.6206897
11225,elated,Ilet@d,6,5.51,808.6206897
11226,elation,IleSn,7,4.75,863.8076923
11227,elbow,Elbo,5,8.13,583.3103448
11228,elbowing,ElboIN,8,4.63,784.4642857
11229,elbowroom,Elborum,9,0,828.4285714
11230,elbows,Elboz,6,7.41,606.4827586
11231,elder,Eld#,5,9.03,606.6071429
11232,elderberry,Eld#bEri,10,3.43,853.5
11233,elderflower,Eld#flo#,11,1.61,993.2083333
11234,elderly,Eld#li,7,8.21,639.0344828
11235,elders,Eld#z,6,7.9,611.2
11236,eldest,EldIst,6,6.22,654.5
11237,Eleanor,El@nOr,7,6.85,751.8709677
11238,elect,IlEkt,5,7.95,597.7
11239,elected,IlEkt@d,7,9.21,580.5185185
11240,electing,IlEktIN,8,6.23,706.1785714
11241,election,IlEkSn,8,9.43,689.8928571
11242,electioneer,IlEkSnIr,11,0.69,999.72
11243,elections,IlEkSnz,9,9.03,697.2592593
11244,elective,IlEktIv,8,6.21,576.3793103
11245,electives,IlEktIvz,9,4.55,679.3103448
11246,elector,IlEkt#,7,4.22,658.516129
11247,electoral,IlEkt#@l,9,7.95,746.28
11248,electorate,IlEkt#@t,10,6.8,868.875
11249,electors,IlEkt#z,8,5.4,705.7931034
11250,electric,IlEktrIk,8,9.89,640.6428571
11251,electrical,IlEktrIkL,10,9.74,653.7
11252,electrically,IlEktrIkli,12,6.59,670.3043478
11253,electrician,IlEktrISn,11,5.88,730.037037
11254,electricity,IlEktrIs@ti,11,8.52,635.2222222
11256,electrify,IlEktr@f!,9,4.01,693.8965517
11257,electrifying,IlEktr@f!IN,12,4.91,714.2857143
11261,electrocute,IlEktr@kjut,11,4.74,983.5714286
11263,electrode,IlEktrod,9,6.32,864.5
11265,electrolysis,IlEktrAl@sIs,12,5.73,889.1666667
11266,electrolyte,IlEktr@l!t,11,5.85,861.0384615
11271,electron,IlEktrAn,8,8.27,669.0740741
11272,electronic,IlEktrAnIk,10,11,701.0333333
11274,electronics,IlEktrAnIks,11,9.74,655.8518519
11275,electrons,IlEktrAnz,9,8.03,770.4666667
11276,electroplate,IlEktr@plet,12,2.71,1019.269231
11277,electroshock,IlEktroSAk,12,5.03,770.2068966
11280,elegance,El@g@ns,8,6.63,690.25
11281,elegances,El@g@ns@z,9,0,739.7037037
11282,elegant,El@g@nt,7,8.15,597.7037037
11283,elegantly,El@g@ntli,9,5.68,691.1612903
11284,element,El@m@nt,7,9.62,606.7666667
11285,elemental,El@mEntL,9,9.91,778.3666667
11286,elementary,El@mEntri,10,8.47,673.6896552
11287,elements,El@m@nts,8,9.77,586.4230769
11288,elephant,El@f@nt,8,8.86,591.2413793
