Epoch,Ortho,Phono,Length,Probability,MeanRT,Trained_Count,Cosine_Similarity,Mean_Squared_Error,Euclidean_Distance,Cross_Entropy,Exported_Pronunciation,Accuracy_Max_CS,Accuracy_Min_MSE,Accuracy_Min_ED,Accuracy_Min_CE,Accuracy_Pronunciation,Hidden_Cosine_Similarity,Hidden_Mean_Squared_Error,Hidden_Euclidean_Distance,Hidden_Cross_Entropy
None,sweak,swek,5,None,None,None,0.998783,0.001836517,0.7080742,0.005187572,swek_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.379162,0.78844786,47.488873,12.876111
None,sweak,swik,5,None,None,None,0.99735826,0.003986524,1.0432262,0.014420169,swek_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.379162,0.78844786,47.488873,12.876111
None,tave,tAv,4,None,None,None,0.99181217,0.013488131,1.9189215,0.057424158,tev__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.3785515,0.78792274,43.58305,12.985075
None,tave,tev,4,None,None,None,0.99996483,5.81E-05,0.12598053,0.000805374,tev__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.3785515,0.78792274,43.58305,12.985075
None,tave,tav,4,None,None,None,0.9940095,0.009848195,1.639682,0.036334056,tev__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.3785515,0.78792274,43.58305,12.985075
None,wead,wid,4,None,None,None,0.998978,0.00167849,0.6769253,0.005305374,wId__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.465806,0.7335116,42.473557,12.608235
None,wead,wEd,4,None,None,None,0.9969528,0.004975976,1.165522,0.012859766,wId__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.465806,0.7335116,42.473557,12.608235
None,wone,won,4,None,None,None,0.9962276,0.006296761,1.3111124,0.01685755,wEn__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.438696,0.7478424,43.126877,12.6492605
None,wone,wVn,4,None,None,None,0.99734974,0.004382331,1.0937898,0.01663186,wEn__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.438696,0.7478424,43.126877,12.6492605
None,wone,wOn,4,None,None,None,0.99739856,0.004323911,1.0864749,0.012446085,wEn__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.438696,0.7478424,43.126877,12.6492605
None,wull,wVl,4,None,None,None,0.9992365,0.001263817,0.5873858,0.003992754,wVl__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.495148,0.7235423,42.765865,12.599538
None,wull,wUl,4,None,None,None,0.9916731,0.013818859,1.942305,0.059443526,wVl__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.495148,0.7235423,42.765865,12.599538
None,wush,wVS,4,None,None,None,0.9988616,0.001867235,0.7139714,0.006015284,wVS__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.468653,0.7497158,44.718437,12.646306
None,wush,wUS,4,None,None,None,0.99077904,0.015162713,2.0345566,0.06916672,wVS__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.468653,0.7497158,44.718437,12.646306
