Word,Pron_NoStress
brigade,brIged
brigades,brIgedz
brigadier,brIg@dIr
brigand,brIg@nd
brigantine,brIg@ntin
bright,br!t
brighten,br!tn
brightened,br!tnd
brightens,br!tnz
brighter,br!t#
brightest,br!tIst
brightly,br!tli
brightness,br!tn@s
brilliance,brIlj@ns
brilliancy,brIlj@nsi
brilliant,brIlj@nt
brilliantly,brIlj@ntli
brim,brIm
brimful,brImfUl
brimmed,brImd
brimstone,brImston
brindle,brIntL
brine,br!n
bring,brIN
bringing,brININ
brings,brINz
brink,brINk
brinkmanship,brINkm@nSIp
brinksmanship,brINksm@nSIp
briquette,brIkEt
Brisbane,brIzb@n
brisk,brIsk
brisker,brIsk#
brisket,brIskIt
briskly,brIskli
briskness,brIskn@s
bristle,brIsL
bristled,brIsLd
bristles,brIsLz
bristling,brIsLIN
bristly,brIsLi
Bristol,brIstL
Britain,brItn
Britannic,brItanIk
britches,brIC@z
British,brItIS
Britisher,brItIS#
Briton,brItn
Britons,brItnz
brittle,brItL
broach,broC
broached,broCt
broad,brOd
broadcast,brOdkast
broadcaster,brOdkast#
broadcasters,brOdkast#z
broadcasting,brOdkastIN
broadcastings,brOdkastINz
broadcasts,brOdkasts
broadcloth,brOdklOT
broaden,brOdn
broadened,brOdnd
broadening,brOdnIN
broadens,brOdnz
broader,brOt#
broadest,brOtIst
broadloom,brOdlum
broadly,brOdli
broadminded,brOdm!nt@d
broadsheet,brOdSit
broadside,brOds!d
broadsword,brOdsOrd
Broadway,brOdwe
brocade,broked
broccoli,brAk@li
brochure,broSUr
brochures,broSUrz
brogue,brog
broil,brYl
broiled,brYld
broiler,brYl#
broke,brok
broken,brok@n
brokenly,brok@nli
broker,brok#
brokerage,brok#IJ
brokers,brok#z
bromides,brom!dz
bromine,bromin
bronc,brANk
bronchi,brANk!
bronchial,brANki@l
bronchiolar,brANkiol#
bronchiole,brANkiol
bronchitis,brANk!t@s
bronchus,brANk@s
bronco,brANko
broncos,brANkoz
broncs,brANks
brontosaurus,brAnt@sOr@s
Bronx,brANks
bronze,brAnz
bronzed,brAnzd
brooch,broC
brood,brud
brooding,brutIN
broods,brudz
broody,bruti
brook,brUk
brooked,brUkt
Brooklyn,brUklIn
brooks,brUks
broom,brum
broomstick,brumstIk
broth,brOT
brothel,brAT@l
brothels,brAT@lz
brother,brVD#
brotherhood,brVD#hUd
brothers,brVD#z
brought,brOt
brouhaha,bruhAhA
brow,br0
browbeat,br0bit
browbeaten,br0bitn
brown,br0n
brownie,br0ni
browning,br0nIN
brownish,br0nIS
brownstone,br0nston
brows,br0z
browse,br0z
browsing,br0zIN
Bruce,brus
bruin,bruIn
bruise,bruz
bruised,bruzd
bruiser,bruz#
bruises,bruz@z
bruising,bruzIN
brunch,brVnC
brunches,brVnC@z
Brunei,brun!
brunette,brunEt
brunettes,brunEts
brunt,brVnt
brush,brVS
brushed,brVSt
brushes,brVS@z
brushfire,brVSf!r
brushing,brVSIN
brushlike,brVSl!k
brushwood,brVSwUd
brushwork,brVSw#k
brushy,brVSi
brusque,brVsk
brusquely,brVskli
Brussels,brVsLz
brutal,brutL
brutalities,brutal@tiz
brutality,brutal@ti
brutalize,brutL!z
brutalized,brutL!zd
brute,brut
brutish,brutIS
bubble,bVbL
bubbled,bVbLd
bubbles,bVbLz
bubbling,bVbLIN
bubbly,bVbLi
buccaneer,bVk@nIr
Buchanan,bjukan@n
Bucharest,buk#rEst
buck,bVk
buckaroos,bVk#ruz
bucked,bVkt
bucket,bVk@t
buckets,bVk@ts
bucking,bVkIN
buckle,bVkL
buckled,bVkLd
buckler,b@kl#
buckles,bVkLz
buckling,bVkLIN
bucks,bVks
buckshot,bVkSAt
buckskin,bVkskIn
buckskins,bVkskInz
bucktooth,bVktuT
buckwheat,bVkhwit
bucolic,bjukAlIk
bud,bVd
Budapest,but@pEst
budded,bVt@d
Buddha,but@
Buddhism,butIzm
Buddhist,butIst
Buddhists,butIsts
buddies,bVtiz
budding,bVtIN
buddy,bVti
budge,bVJ
budget,bVJ@t
budgetary,bVJ@tEri
budgeted,bVJ@t@d
budgeting,bVJ@tIN
budgets,bVJ@ts
buds,bVdz
buff,bVf
buffalo,bVf@lo
buffaloes,bVf@loz
buffer,bVf#
buffered,bVf#d
buffet,b@fe
buffeted,bVf@t@d
buffetings,bVf@tINz
buffets,b@fez
buffoon,b@fun
buffoonery,b@fun#ri
buffoons,b@funz
buffs,bVfs
bug,bVg
bugaboo,bVg@bu
Bugatti,bUgAti
bugeyed,bVg!d
bugged,bVgd
bugger,bVg#
buggers,bVg#z
buggery,bVg#i
buggies,bVgiz
bugging,bVgIN
buggy,bVgi
bugle,bjugL
bugler,bjugl#
bugs,bVgz
Buick,bjuIk
build,bIld
builder,bIld#
builders,bIld#z
building,bIldIN
buildings,bIldINz
builds,bIldz
buildup,bIldVp
built,bIlt
bulb,bVlb
bulbous,bVlb@s
bulbs,bVlbz
Bulgaria,bVlgEri@
Bulgarian,bVlgEri@n
bulge,bVlJ
bulged,bVlJd
bulging,bVlJIN
bulgy,bVlJi
bulk,bVlk
bulked,bVlkt
bulkhead,bVlkhEd
bulkheads,bVlkhEdz
bulks,bVlks
bulky,bVlki
bull,bUl
bulldog,bUldOg
bulldoze,bUldoz
bulldozer,bUldoz#
bullet,bUl@t
bulletin,bUl@t@n
bulletins,bUl@t@nz
bulletproof,bUl@tpruf
bullets,bUl@ts
bullfighter,bUlf!t#
bullfinch,bUlfInC
bullfrog,bUlfrAg
bullheaded,bUlhEt@d
bullies,bUliz
bullion,bUli@n
bullish,bUlIS
bullnecked,bUlnEkt
bullock,bUl@k
bullring,bUlrIN
bulls,bUlz
bully,bUli
bullyboys,bUlibYz
bullying,bUliIN
bulrush,bUlrVS
bulwark,bUlw#k
bum,bVm
bumble,bVmbL
bumblebee,bVmbLbi
bumblebees,bVmbLbiz
bummer,bVm#
bumming,bVmIN
bump,bVmp
bumped,bVmpt
bumper,bVmp#
bumpers,bVmp#z
bumping,bVmpIN
bumpkin,bVmpkIn
bumps,bVmps
bumpy,bVmpi
bums,bVmz
bun,bVn
bunch,bVnC
bunched,bVnCt
bundle,bVntL
bundled,bVntLd
bundles,bVntLz
bundling,bVntLIN
bungalow,bVNg@lo
bungle,bVNgL
bungled,bVNgLd
bunion,bVnj@n
bunk,bVNk
bunker,bVNk#
bunkered,bVNk#d
bunkhouse,bVNkh0s
bunkmate,bVNkmet
bunkmates,bVNkmets
bunks,bVNks
bunny,bVni
buns,bVnz
bunsen,bVnsn
bunt,bVnt
bunter,bVnt#
bunters,bVnt#z
bunting,bVntIN
Bunyan,bVnj@n
buoy,bui
buoyancy,bY@nsi
buoyant,bY@nt
buoyed,buid
buoys,buiz
Burbank,b#baNk
burden,b#dn
burdened,b#dnd
burdens,b#dnz
burdensome,b#dns@m
bureau,bjUro
bureaucracies,bjUrAkr@siz
bureaucracy,bjUrAkr@si
bureaucrat,bjUr@krat
bureaucratic,bjUr@kratIk
bureaucratization,bjUrAkr@t@zeSn
bureaucrats,bjUr@krats
bureaus,bjUroz
burg,b#g
burgeon,b#J@n
burgeoned,b#J@nd
burgeoning,b#J@nIN
burger,b#g#
burgher,b#g#
burglar,b#gl#
burglarize,b#gl#!z
burglarproof,b#gl#pruf
burglars,b#gl#z
burglary,b#gl#ri
burgle,b#gL
burgundy,b#g@nti
burial,bEri@l
buried,bErid
buries,bEriz
burlap,b#lap
burlesque,b#lEsk
burlesques,b#lEsks
burly,b#li
Burma,b#m@
Burmese,b#miz
burn,b#n
burned,b#nd
burner,b#n#
burners,b#n#z
burning,b#nIN
burnings,b#nINz
burnish,b#nIS
burnished,b#nISt
burns,b#nz
burnside,b#ns!d
burnsides,b#ns!dz
burnt,b#nt
burp,b#p
burr,b#
burro,b#ro
burrow,b#ro
burrowed,b#rod
burrowing,b#roIN
burrows,b#roz
burrs,b#z
bursar,b#s#
bursary,b#s#ri
bursitis,b#s!t@s
burst,b#st
bursting,b#stIN
bursts,b#sts
Burt,b#t
bury,bEri
bus,bVs
buses,bVs@z
bush,bUS
bushbaby,bUSbebi
bushel,bUSL
bushels,bUSLz
bushes,bUS@z
bushing,bUSIN
Bushman,bUSm@n
bushwhack,bUShwak
bushwhacked,bUShwakt
bushy,bUSi
busied,bIzid
busier,bIzi#
busiest,bIziIst
busily,bIz@li
business,bIznIs
businesses,bIznIs@z
businesslike,bIznIsl!k
businessman,bIznIsm@n
businessmen,bIznIsm@n
businesswoman,bIznIswUm@n
busses,bVs@z
bust,bVst
bustard,bVst#d
busted,bVst@d
buster,bVst#
bustle,bVsL
bustling,bVsLIN
busts,bVsts
busy,bIzi
busybody,bIzibAti
busyness,bIzin@s
but,bVt
butane,bjuten
butch,bUC
butcher,bUC#
butchered,bUC#d
butchery,bUC#i
butler,bVtl#
butlers,bVtl#z
butt,bVt
butte,bjut
butted,bVt@d
butter,bVt#
butterbean,b@t#bin
buttercup,bVt#kVp
butterfat,bVt#fat
butterfingers,bVt#fINg#z
butterflies,bVt#fl!z
butterfly,bVt#fl!
buttermilk,bVt#mIlk
butternut,bVt#nVt
butterscotch,bVt#skAC
buttery,bVt#i
butting,bVtIN
buttocks,bVt@ks
button,bVtn
buttoned,bVtnd
buttonhole,bVtnhol
buttonholes,bVtnholz
buttonhook,bVtnhUk
buttons,bVtnz
buttonwood,b@tnwUd
buttress,bVtr@s
buttressed,bVtr@st
buttresses,bVtr@s@z
butts,bVts
buxom,bVksm
buy,b!
buyer,b!#
buyers,b!#z
buying,b!IN
buys,b!z
buzz,bVz
buzzard,bVz#d
buzzed,bVzd
buzzer,bVz#
buzzes,bVz@z
buzzing,bVzIN
by,b!
bye,b!
bygone,b!gOn
bygones,b!gOnz
bylaw,b!lO
byline,b!l!n
bypass,b!pas
bypassed,b!past
bypath,b!paT
byproduct,b!prAdVkt
byproducts,b!prAdVkts
byroad,b!rod
Byron,b!r@n
bystander,b!stant#
byway,b!we
byword,b!w#d
Byzantine,bIzntin
Byzantium,bIzanti@m
cab,kab
cabana,k@ban@
cabanas,k@ban@z
cabaret,kab#re
cabbage,kab@J
cabby,kabi
cabdriver,kabdr!v#
cabin,kabIn
cabinet,kab@n@t
cabinetmakers,kab@n@tmek#z
cabinets,kab@n@ts
cabins,kabInz
cable,kebL
cabled,kebLd
cablegram,kebLgram
cables,kebLz
caboodle,k@butL
caboose,k@bus
cabs,kabz
cabstand,kabstand
cacao,k@keo
cache,kaS
cachet,kaSe
cackle,kakL
cackled,kakLd
cackly,kakLi
cacophonist,kakAf@nIst
cacophonous,kakAf@n@s
cacophony,kakAf@ni
cactus,kakt@s
cad,kad
cadaver,k@dav#
cadaverous,k@dav#@s
caddie,kati
caddy,kati
cadence,kedns
cadenza,k@dEnz@
cadet,k@dEt
Cadillac,katLak
Cadillacs,katLaks
cadmium,kadmi@m
cadre,kadri
Caesar,siz#
caesarean,s@zEri@n
cafe,kafe
cafes,kafez
cafeteria,kaf@tIri@
cafeterias,kaf@tIri@z
caffeine,kafin
cage,keJ
caged,keJd
cages,keJ@z
cagey,keJi
cahoots,k@huts
Caiman,kem@n
Cain,ken
Cairo,k!ro
cajole,k@Jol
cake,kek
caked,kekt
cakes,keks
calabash,kal@baS
calamine,kal@m!n
calamities,k@lam@tiz
calamitous,k@lam@t@s
calamity,k@lam@ti
calcification,kals@f@keS@n
calcified,kals@f!d
calcify,kals@f!
calcium,kalsi@m
calculable,kalkj@l@bL
calculate,kalkj@let
calculated,kalkj@let@d
calculating,kalkj@letIN
calculation,kalkj@leSn
calculations,kalkj@leSnz
calculator,kalkj@let#
calculators,kalkj@let#z
calculus,kalkj@l@s
Calcutta,kalkVt@
calendar,kal@nt#
calendars,kal@nt#z
calf,kaf
calfskin,kafskIn
caliber,kal@b#
calibrate,kal@bret
calibrated,kal@bret@d
calibrating,kal@bretIN
calibration,kal@breSn
calibrations,kal@breSnz
calico,kal@ko
California,kal@fOrnj@
Californians,kal@fOrnj@nz
Caligula,k@lIgj@l@
caliper,kal@p#
calipers,kal@p#z
caliph,kelIf
caliphs,kelIfs
calisthenics,kal@sTEnIks
call,kOl
callable,kOl@bL
callboy,kOlbY
called,kOld
caller,kOl#
callers,kOl#z
calligraphers,k@lIgr@f#z
calligraphy,k@lIgr@fi
calling,kOlIN
callisthenic,kalIsD@En!si
callous,kal@s
calloused,kal@st
callously,kal@sli
callousness,kal@sn@s
callow,kalo
calls,kOlz
callus,kal@s
calluses,kal@s@z
calm,kAm
calmed,kAmd
calmer,kAm#
calmest,kAmIst
calming,kAmIN
calmly,kAmli
calmness,kAmn@s
caloric,k@lOrIk
calorie,kal#ri
calories,kal#riz
calorimeter,kal#rIm@t#
calorimetric,kal#r@mEtrIk
Calvary,kalv#ri
calve,kav
calves,kavz
Calvin,kalvn
calving,kavIN
Calvinism,kalvnIzm
Calvinist,kalvnIst
calypso,k@lIpso
cam,kam
camaraderie,kAm#rAt#ri
camber,kamb#
Cambodia,kamboti@
Cambodian,kamboti@n
cambric,kembrIk
Cambridge,kembrIJ
came,kem
camel,kamL
camelhair,kam@lhEr
Camelot,kam@lAt
camels,kamLz
cameo,kamio
cameos,kamioz
camera,kamr@
cameraman,kamr@m@n
cameramen,kamr@m@n
cameras,kamr@z
camisole,kamIsol
camomile,kam@m!l
camouflage,kam@flAZ
camouflaged,kam@flAZd
camp,kamp
campaign,kampen
campaigned,kampend
campaigners,kampen#z
campaigning,kampenIN
campaigns,kampenz
camped,kampt
camper,kamp#
campers,kamp#z
campfire,kampf!r
campground,kampgr0nd
campgrounds,kampgr0ndz
camphor,kamf#
camping,kampIN
campmate,kampmet
camps,kamps
campsite,kamps!t
campsites,kamps!ts
campus,kamp@s
campuses,kamp@s@z
cams,kamz
can,kan
Canada,kan@t@
Canadian,k@neti@n
Canadians,k@neti@nz
canal,k@nal
canals,k@nalz
canary,k@nEri
canasta,k@nast@
cancan,kaNkan
cancel,kansL
cancellation,kansLeSn
cancelled,kansLd
cancelling,kansLIN
cancels,kansLz
cancer,kans#
cancerous,kans#@s
cancers,kans#z
candelabra,kant@lAbr@
candescent,kandEs@nt
candid,kantId
candidacy,kant@t@si
candidate,kant@det
candidates,kant@dets
candidly,kantIdli
candied,kantid
candies,kantiz
candle,kantL
candlelight,kantLl!t
candlepower,kantLp0r
candles,kantLz
candlestick,kantLstIk
candlewick,kantLwIk
candor,kant#
candy,kanti
cane,ken
canine,ken!n
canister,kanIst#
canisters,kanIst#z
canker,kaNk#
cankerous,kaNk#@s
cannabis,kan@bIs
canned,kand
cannelloni,kanLoni
canneries,kan#riz
cannery,kan#ri
cannibal,kan@bL
cannibalistic,kan@bLIstIk
cannibalize,kan@bL!z
cannibals,kan@bLz
canning,kanIN
cannon,kan@n
cannonball,kan@nbOl
cannot,kanAt
canny,kani
canoe,k@nu
canoes,k@nuz
canon,kan@n
canonist,kan@nIst
canonize,kan@n!z
canonized,kan@n!zd
canons,kan@nz
canopy,kan@pi
cans,kanz
cantaloupe,kant@lop
cantankerous,kantaNk#r@s
canteen,kantin
canter,kant#
Canterbury,kant#bEri
cantered,kant#d
cantilevers,kant@lEv#z
canting,kantIN
Cantonese,kant@niz
canvas,kanv@s
canvases,kanv@s@z
canvass,kanv@s
canvassed,kanv@st
canvassers,kanv@s#z
canvassing,kanv@sIN
canyon,kanj@n
canyons,kanj@nz
canyonside,kanj@ns!d
cap,kap
capabilities,kep@bIl@tiz
capability,kep@bIl@ti
capable,kep@bL
capably,kep@bli
capacious,k@peS@s
capacitance,k@pas@t@ns
capacities,k@pas@tiz
capacitor,k@pas@t#
capacitors,k@pas@t#z
capacity,k@pas@ti
cape,kep
caper,kep#
capering,kep#IN
capers,kep#z
capes,keps
capillary,kap@lEri
Capistrano,kapIstrano
capita,kapIt@
capital,kap@tL
capitalism,kap@tLIzm
capitalist,kap@tLIst
capitalistic,kap@tLIstIk
capitalists,kap@tLIsts
capitalization,kap@tL@zeSn
capitalize,kap@tL!z
capitalizing,kap@tL!zIN
capitals,kap@tLz
Capitol,kap@tL
Capitoline,kapItL!n
capitulate,k@pICulet
capitulated,k@pICulet@d
capitulation,k@pICuleSn
capped,kapt
caprice,k@pris
capricious,k@prIS@s
Capricorn,kapr@kOrn
caps,kaps
capsize,kaps!z
capstan,kapst@n
capsule,kapsL
capsules,kapsLz
captain,kapt@n
captaincy,kapt@nsi
captains,kapt@nz
caption,kapSn
captions,kapSnz
captious,kapS@s
captivate,kapt@vet
captivated,kapt@vet@d
captivating,kapt@vetIN
captive,kaptIv
captives,kaptIvz
captivity,kaptIv@ti
captor,kapt#
captors,kapt#z
capture,kapC#
captured,kapC#d
captures,kapC#z
capturing,kapC#IN
car,kAr
carabao,kAr@bAo
Caracas,k#rAk@s
carafe,k#raf
caramel,kar@mL
carat,kar@t
caravan,kar@van
caravans,kar@vanz
caraway,kar@we
carbide,kArb!d
carbine,kArb!n
carbines,kArb!nz
carbohydrate,kArboh!dret
carbon,kArb@n
carbonate,kArb@net
carbonates,kArb@nets
carbonation,kArb@neSn
carbons,kArb@nz
carcass,kArk@s
carcasses,kArk@s@z
carcinogen,kArsIn@JEn
carcinoma,kArs@nom@
card,kArd
cardboard,kArdbOrd
cardiac,kArtiak
cardigan,kArtIg@n
cardinal,kArdn@l
cardinals,kArdn@lz
cardiogram,kArti@gram
cardiograph,kArti@graf
cardiovascular,kArtiovaskj@l#
cardpunch,kArdpVnC
cards,kArdz
cardsharp,kArdSArp
care,kEr
cared,kErd
careen,k#rin
careened,k#rind
careening,k#rinIN
career,k#rIr
careerism,k#rIrIzm
careers,k#rIrz
carefree,kErfri
careful,kErfL
carefully,kErfLi
carefulness,kErfLn@s
careladen,kErledn
careless,kErl@s
carelessly,kErl@sli
carelessness,kErl@sn@s
cares,kErz
caress,k#rEs
caressed,k#rEst
caresses,k#rEs@z
caressing,k#rEsIN
caret,kar@t
caretaker,kErtek#
cargo,kArgo
Caribbean,k@rIbi@n
caribou,karIbu
caricature,kar@k@C#
caricatured,kar@k@C#d
caricaturist,kar@k@C#Ist
caring,kErIN
Carl,kArl
carload,kArlod
carloads,kArlodz
Carmelite,kArmL!t
Carmen,kArm@n
carmine,kArm!n
carnage,kArnIJ
carnal,kArnL
carnality,kArnal@ti
carnation,kArneSn
Carnegie,kArn@gi
carney,kArni
carnival,kArn@vL
carnivore,kArn@vOr
carnivorous,kArnIv#@s
carob,kar@b
carol,kar@l
Caroline,kar@l!n
caroller,kar@l#
carols,kar@lz
carotid,k#rAtId
carouse,k#r0z
carousel,kar@sEl
carousing,k#r0zIN
carp,kArp
carpal,kArpL
carpenter,kArp@nt#
carpenters,kArp@nt#z
carpentry,kArp@ntri
carpet,kArp@t
carpetbag,kArp@tbag
carpetbagger,kArp@tbag#
carpeted,kArp@t@d
carpeting,kArp@tIN
carpets,kArp@ts
carport,kArpOrt
carrel,kar@l
carriage,karIJ
carriages,karIJ@z
carried,karid
carrier,kari#
carriers,kari#z
carries,kariz
carrion,kari@n
carrot,kar@t
carrots,kar@ts
carry,kari
carryall,kariOl
carrying,kariIN
carryout,kari0t
carryover,kariov#
cars,kArz
carsick,kArsIk
cart,kArt
carte,kArt
carted,kArt@d
cartel,kArtEl
cartels,kArtElz
Carter,kArt#
Carters,kArt#z
Cartesian,kArtiZn
Carthage,kArTIJ
carthorse,kArthOrs
cartilage,kArt@lIJ
cartographer,kArtAgr@f#
carton,kArtn
cartons,kArtnz
cartoon,kArtun
cartoonist,kArtunIst
cartoonists,kArtunIsts
cartoons,kArtunz
cartridge,kArtrIJ
cartridges,kArtrIJ@z
carts,kArts
cartwheel,kArthwil
cartwheels,kArthwilz
carve,kArv
carved,kArvd
carver,kArv#
carving,kArvIN
carvings,kArvINz
Casanova,kas@nov@
cascade,kasked
cascaded,kasket@d
cascades,kaskedz
cascading,kasketIN
case,kes
casebook,kesbUk
cased,kest
casement,kesm@nt
cases,kes@z
casework,kesw#k
caseworker,kesw#k#
caseworkers,kesw#k#z
cash,kaS
cashable,kaS@bL
cashed,kaSt
cashew,kaSu
cashews,kaSuz
cashier,kaSIr
cashmere,kaZmIr
casing,kesIN
casino,k@sino
cask,kask
casket,kask@t
caskets,kask@ts
casks,kasks
casserole,kas#rol
cassette,k@sEt
Cassiopeia,kasiopi@
cassock,kas@k
cassocked,kas@kt
cast,kast
castanets,kast@nEts
castaway,kast@we
caste,kast
caster,kast#
casters,kast#z
castigate,kast@get
castigated,kast@get@d
castigates,kast@gets
castigation,kast@geSn
casting,kastIN
castle,kasL
castles,kasLz
castoff,kastOf
castor,kast#
castrate,kastret
castration,kastreSn
Castro,kastro
Castroism,kastroIz@m
casts,kasts
casual,kaZu@l
casually,kaZu@li
casuals,kaZu@lz
casualties,kaZu@ltiz
casualty,kaZu@lti
cat,kat
cataclysm,kat@klIzm
cataclysmic,kat@klIzmIk
catacomb,kat@kom
catalepsy,kat@lEpsi
catalog,kat@lOg
catalogs,kat@lOgz
catalysis,k@tal@sIs
catalyst,katLIst
catalysts,katLIsts
catalytic,katLItIk
catamaran,kat@m#ran
catapult,kat@pVlt
catapulted,kat@pVlt@d
catapulting,kat@pVltIN
catapults,kat@pVlts
cataract,kat#rakt
catastrophe,k@tastr@fi
catastrophes,k@tastr@fiz
catastrophic,kat@strAfIk
catastrophically,kat@strAfIkli
catatonic,kat@tAnIk
catcall,katkOl
catch,kaC
catcher,kaC#
catchers,kaC#z
catches,kaC@z
catching,kaCIN
catchphrase,kaCfrez
catchup,kaCVp
catchword,kaCw#d
catchwords,kaCw#dz
catchy,kaCi
catechism,kat@kIzm
catechize,kat@k!z
categorical,kat@gOrIkL
categorically,kat@gOrIkli
categories,kat@gOriz
categorize,katIg#r!z
categorized,katIg#r!zd
categorizing,katIg#r!zIN
category,kat@gOri
cater,ket#
catered,ket#d
caterer,ket##
catering,ket#IN
caterpillar,kat#pIl#
caterpillars,kat#pIl#z
catfish,katfIS
catgut,katgVt
catharsis,k@TArsIs
cathartic,k@TArtIk
cathedral,k@Tidr@l
cathedrals,k@Tidr@lz
Catherine,kaT#rIn
catheter,kaT@t#
cathode,kaTod
Catholic,kaTlIk
Catholicism,k@TAlIsIzm
Catholics,kaTlIks
Cathy,kaTi
catlike,katl!k
catnap,katnap
catnip,katnIp
cats,kats
catsup,kats@p
cattle,katL
cattlemen,katLm@n
catty,kati
catwalk,katwOk
Caucasia,kOkeZ@
Caucasian,kOkeZn
Caucasus,kOk@s@s
caucus,kOk@s
caucuses,kOk@s@z
caucusing,kOk@sIN
caudal,kOtL
caught,kOt
cauldron,kOldr@n
cauliflower,kAlIfl0r
causal,kOzL
causality,kOzal@ti
causally,kOzLi
causation,kOzeSn
causative,kOz@tIv
cause,kOz
caused,kOzd
causes,kOz@z
causeway,kOzwe
causing,kOzIN
caustic,kOstIk
cauterize,kOt#r!z
cautery,kOt#i
caution,kOSn
cautionary,kOSnEri
cautioned,kOSnd
cautions,kOSnz
cautious,kOS@s
cautiously,kOS@sli
cavalcade,kavLked
cavalcades,kavLkedz
cavalier,kav@lIr
cavalry,kavLri
cavalryman,kavLrim@n
cavalrymen,kavLrim@n
cave,kev
caveat,keviat
caved,kevd
caveman,kevman
cavemen,kevmEn
cavern,kav#n
cavernous,kav#n@s
caverns,kav#nz
caves,kevz
caviar,kaviAr
caving,kevIN
cavities,kav@tiz
cavity,kav@ti
cavort,k@vOrt
cayenne,k!En
cease,sis
ceased,sist
ceaseless,sisl@s
ceaselessly,sisl@sli
ceases,sis@z
ceasing,sisIN
Cecil,sisL
Cecilia,s@silj@
cedar,sit#
cede,sid
ceiling,silIN
ceilings,silINz
celebrant,sEl@br@nt
celebrants,sEl@br@nts
celebrate,sEl@bret
celebrated,sEl@bret@d
celebrates,sEl@brets
celebrating,sEl@bretIN
celebration,sEl@breSn
celebrations,sEl@breSnz
celebrities,s@lEbr@tiz
celebrity,s@lEbr@ti
celerity,s@lEr@ti
celery,sEl#ri
celestial,s@lEsti@l
celibacy,sEl@b@si
cell,sEl
cellar,sEl#
cellars,sEl#z
cellist,CElIst
cello,CElo
cellophane,sEl@fen
cells,sElz
cellular,sElj@l#
celluloid,sElj@lYd
cellulose,sElj@los
Celsius,sElsi@s
Celt,kElt
Celtic,kEltIk
cement,s@mEnt
cemented,s@mEnt@d
cemetery,sEm@tEri
censor,sEns#
censored,sEns#d
censorial,sEnsOri@l
censors,sEns#z
censorship,sEns#SIp
censure,sEnSr
censured,sEnSrd
censures,sEnSrz
census,sEns@s
censuses,sEns@s@z
cent,sEnt
centaur,sEntOr
centenary,sEntnEri
centennial,sEntEni@l
center,sEnt#
centered,sEnt#d
centering,sEnt#IN
centerline,sEnt#l!n
centers,sEnt#z
centigrade,sEnt@gred
centigram,sEnt@gram
centimeter,sEnt@mit#
centimeters,sEnt@mit#z
centipede,sEntIpid
central,sEntr@l
centralism,sEntr@lIzm
centrality,sEntral@ti
centralization,sEntr@l@zeSn
centralize,sEntr@l!z
centralized,sEntr@l!zd
centralizing,sEntr@l!zIN
centrally,sEntr@li
centric,sEntrIk
centrifugal,sEntrIfj@g@l
centrifugation,sEntrIfj@geS@n
centrifuge,sEntr@fjuJ
centrifuged,sEntr@fjuJd
centrifuging,sEntr@fjuJIN
centripetal,sEntrIp@tL
cents,sEnts
centuries,sEnC#riz
centurion,sEnCUri@n
century,sEnC#ri
ceramic,s@ramIk
ceramics,s@ramIks
cereal,sIri@l
cereals,sIri@lz
cerebella,sEr@bEl@
cerebellum,sEr@bEl@m
cerebral,sEr@br@l
cerebrate,sEr@bret
cerebrated,sEr@bret@d
cerebrum,s#ribr@m
ceremonial,sEr@moni@l
ceremonially,sEr@moni@li
ceremonies,sEr@moniz
ceremoniously,sEr@moni@sli
ceremony,sEr@moni
certain,s#tn
certainly,s#tnli
certainty,s#tnti
certifiable,s#t@f!@bL
certificate,s#tIfIk@t
certificates,s#tIfIk@ts
certification,s#t@f@keSn
certified,s#t@f!d
certifies,s#t@f!z
certify,s#t@f!
certifying,s#t@f!IN
certitude,s#t@tud
cervical,s#vIkL
cervix,s#vIks
cessation,sEseSn
cession,sESn
cesspit,sEspIt
cesspool,sEspul
Chablis,S@bli
Chad,Cad
chafe,Cef
chaffing,CafIN
chafing,CefIN
chagrin,S@grIn
chain,Cen
chainlike,Cenl!k
chains,Cenz
chair,CEr
chairing,CErIN
chairman,CErm@n
chairmanship,CErm@nSIp
chairmanships,CErm@nSIps
chairmen,CErm@n
chairperson,CErp#sn
chairs,CErz
chairwoman,CErwUm@n
chaise,Sez
chalet,Sale
chalice,CalIs
chalk,COk
chalked,COkt
chalky,COki
challenge,Cal@nJ
challenged,Cal@nJd
challenger,Cal@nJ#
challenges,Cal@nJ@z
challenging,Cal@nJIN
chamber,Cemb#
chambered,Cemb#d
chamberlain,Cemb#lIn
chambermaid,Cemb#med
chambermaids,Cemb#medz
chamberpot,Cemb#pAt
chambers,Cemb#z
chameleon,k@mili@n
chamois,Sami
champ,Camp
champagne,Sampen
champaign,Sampen
champion,Campi@n
champions,Campi@nz
championship,Campi@nSIp
championships,Campi@nSIps
champs,Camps
chance,Cans
chanced,Canst
chancel,CansL
chancellery,CansL#ri
chancellor,CansL#
chanceries,Cans#riz
chances,Cans@z
chancy,Cansi
chandelier,Sant@lIr
chandeliers,Sant@lIrz
change,CenJ
changeable,CenJ@bL
changed,CenJd
changeling,CenJlIN
changes,CenJ@z
changing,CenJIN
channel,CanL
channeled,CanLd
channels,CanLz
chant,Cant
chanted,Cant@d
chanter,Cant#
chantey,Santi
chanting,CantIN
chants,Cants
chaos,keAs
chaotic,keAtIk
chap,Cap
chapel,CapL
chapels,CapLz
chaperone,Sap#ron
chaperoned,Sap#rond
chaplain,CaplIn
chaplains,CaplInz
chapped,Capt
chaps,Caps
chapter,Capt#
